,top1,fps-comp,NN_Topology,type,hardw,hardw_datatype_net_prun,hw_peak_perf,nn_total_operations,pairs,color
21,98.75,1704.0,MLP,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mlp_100,,,True,u96-quadcore-a53_int8_mlp_100
97,98.77,852.0,MLP,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mlp_100,,,True,u96-quadcore-a53_int8_mlp_100
183,97.3,640.0,MLP,predicted,NCS,ncs_fp16_mlp_100,,,True,ncs_fp16_mlp_100
151,97.54,25483.34609,MLP,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mlp_12.5,,,True,u96-quadcore-a53_int8_mlp_12.5
133,98.29,8520.0,MLP,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mlp_25,,,True,u96-quadcore-a53_int8_mlp_25
8,97.31,39802.5,MLP,measured,TX2-maxp,tx2-maxp_fp32_mlp_100,0.57,0.02,True,tx2-maxp_fp32_mlp_100
57,98.04,17040.0,MLP,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mlp_25,,,True,u96-quadcore-a53_int8_mlp_25
7,98.75,7680.0,MLP,predicted,ZCU104-FINN,zcu104-finn_int2_mlp_100,,,True,zcu104-finn_int2_mlp_100
39,98.49,5680.0,MLP,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mlp_50,,,True,u96-quadcore-a53_int8_mlp_50
22,98.04,14171.66559,MLP,measured,ZCU104-Bismo,zcu104-bismo_int2_mlp_25,30.7,0.0019,True,zcu104-bismo_int2_mlp_25
45,98.04,76800.0,MLP,predicted,ZCU104-BISMO,zcu104-bismo_int2_mlp_25,,,True,zcu104-bismo_int2_mlp_25
63,96.85,229709.0352,MLP,predicted,ZCU104-BISMO,zcu104-bismo_int2_mlp_12.5,,,True,zcu104-bismo_int2_mlp_12.5
21,96.85,33542.08037,MLP,measured,ZCU104-Bismo,zcu104-bismo_int2_mlp_12.5,30.7,0.0007,True,zcu104-bismo_int2_mlp_12.5
9,98.75,7680.0,MLP,predicted,ZCU104-BISMO,zcu104-bismo_int2_mlp_100,,,True,zcu104-bismo_int2_mlp_100
27,98.49,25600.0,MLP,predicted,ZCU104-BISMO,zcu104-bismo_int2_mlp_50,,,True,zcu104-bismo_int2_mlp_50
140,97.54,114854.5176,MLP,predicted,ZCU104-BISMO,zcu104-bismo_int4_mlp_12.5,,,True,zcu104-bismo_int4_mlp_12.5
24,98.77,838.3528949,MLP,measured,ZCU104-Bismo,zcu104-bismo_int4_mlp_100,8.8,0.02,True,zcu104-bismo_int4_mlp_100
33,98.29,598130.841,MLP,measured,ZCU104-FINN,zcu104-finn_int4_mlp_25,8.8,0.0019,True,zcu104-finn_int4_mlp_25
120,98.29,38400.0,MLP,predicted,ZCU104-FINN,zcu104-finn_int4_mlp_25,,,True,zcu104-finn_int4_mlp_25
32,97.54,1193473.19,MLP,measured,ZCU104-FINN,zcu104-finn_int4_mlp_12.5,8.8,0.0007,True,zcu104-finn_int4_mlp_12.5
138,97.54,114854.5176,MLP,predicted,ZCU104-FINN,zcu104-finn_int4_mlp_12.5,,,True,zcu104-finn_int4_mlp_12.5
31,98.49,484848.485,MLP,measured,ZCU104-FINN,zcu104-finn_int2_mlp_50,30.7,0.0058200000000000005,True,zcu104-finn_int2_mlp_50
0,98.86,621.337,MLP,measured,NCS,ncs_fp16_mlp_100,0.5,0.02,True,ncs_fp16_mlp_100
25,98.49,25600.0,MLP,predicted,ZCU104-FINN,zcu104-finn_int2_mlp_50,,,True,zcu104-finn_int2_mlp_50
43,98.04,38400.0,MLP,predicted,ZCU104-FINN,zcu104-finn_int2_mlp_25,,,True,zcu104-finn_int2_mlp_25
29,96.85,3849624.06,MLP,measured,ZCU104-FINN,zcu104-finn_int2_mlp_12.5,30.7,0.0007,True,zcu104-finn_int2_mlp_12.5
61,96.85,229709.0352,MLP,predicted,ZCU104-FINN,zcu104-finn_int2_mlp_12.5,,,True,zcu104-finn_int2_mlp_12.5
115,98.62,2840.0,MLP,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_mlp_50,,,True,u96-quadcore-a53_int8_mlp_50
28,98.75,80389.386,MLP,measured,ZCU104-FINN,zcu104-finn_int2_mlp_100,30.7,0.02,True,zcu104-finn_int2_mlp_100
104,98.62,12800.0,MLP,predicted,ZCU104-BISMO,zcu104-bismo_int4_mlp_50,,,True,zcu104-bismo_int4_mlp_50
27,98.62,2728.186302,MLP,measured,ZCU104-Bismo,zcu104-bismo_int4_mlp_50,8.8,0.0058200000000000005,True,zcu104-bismo_int4_mlp_50
122,98.29,38400.0,MLP,predicted,ZCU104-BISMO,zcu104-bismo_int4_mlp_25,,,True,zcu104-bismo_int4_mlp_25
26,98.29,7643.090598000002,MLP,measured,ZCU104-Bismo,zcu104-bismo_int4_mlp_25,8.8,0.0019,True,zcu104-bismo_int4_mlp_25
20,98.75,1606.548089,MLP,measured,ZCU104-Bismo,zcu104-bismo_int2_mlp_100,30.7,0.02,True,zcu104-bismo_int2_mlp_100
25,97.54,19093.17559,MLP,measured,ZCU104-Bismo,zcu104-bismo_int4_mlp_12.5,8.8,0.0007,True,zcu104-bismo_int4_mlp_12.5
86,98.77,3840.0,MLP,predicted,ZCU104-BISMO,zcu104-bismo_int4_mlp_100,,,True,zcu104-bismo_int4_mlp_100
23,98.49,5103.8135619999985,MLP,measured,ZCU104-Bismo,zcu104-bismo_int2_mlp_50,30.7,0.0058200000000000005,True,zcu104-bismo_int2_mlp_50
30,98.04,1932075.472,MLP,measured,ZCU104-FINN,zcu104-finn_int2_mlp_25,30.7,0.0019,True,zcu104-finn_int2_mlp_25
34,98.62,242884.25,MLP,measured,ZCU104-FINN,zcu104-finn_int4_mlp_50,8.8,0.0058200000000000005,True,zcu104-finn_int4_mlp_50
