goo_volt,slow_goo_amp,slow_mob_volt,slow_mob_amp,slow_es_volt,slow_es_amp,slow_em_volt,slow_em_amp,slow_el_volt,slow_el_amp,Idle,slow_r15_volt,slow_r15_amp
5.06,0.161,5.04,0.238,5.03,0.287,5.03,0.276,5.03,0.269,0.76912,5.06,0.205
5.04,0.243,5.04,0.238,5.03,0.28,5.06,0.16,5.03,0.283,0.76912,5.06,0.197
5.04,0.236,5.04,0.236,5.03,0.285,5.05,0.177,5.03,0.29,0.76912,5.06,0.208
5.04,0.244,5.04,0.239,5.03,0.284,5.03,0.29,5.03,0.301,0.77418,5.06,0.197
5.04,0.236,5.04,0.229,5.03,0.279,5.05,0.202,5.03,0.288,0.77418,5.06,0.195
5.04,0.23,5.04,0.236,5.03,0.28,5.04,0.264,5.03,0.302,,5.06,0.198
5.05,0.21,5.05,0.205,5.06,0.156,5.03,0.278,5.03,0.295,,5.06,0.203
5.04,0.234,5.04,0.24,5.03,0.284,5.03,0.284,5.03,0.294,,5.06,0.178
5.04,0.235,5.05,0.183,5.03,0.285,5.03,0.291,5.03,0.252,,5.06,0.178
5.04,0.234,5.06,0.154,5.03,0.285,5.03,0.289,5.04,0.229,,5.06,0.199
5.04,0.24,5.06,0.153,5.03,0.283,5.03,0.273,5.05,0.174,,5.06,0.203
5.04,0.225,5.04,0.227,5.03,0.28,5.03,0.279,5.03,0.295,,5.06,0.201
5.04,0.228,5.06,0.153,5.03,0.291,5.03,0.285,5.04,0.207,,5.06,0.202
5.04,0.231,5.04,0.24,5.03,0.284,5.03,0.276,5.03,0.286,,5.06,0.191
5.06,0.161,5.04,0.234,5.03,0.284,5.03,0.288,5.03,0.281,,5.05,0.21
5.05,0.193,5.05,0.188,5.03,0.285,5.05,0.168,5.05,0.212,,5.06,0.195
5.08,0.071,5.06,0.153,5.03,0.281,5.03,0.291,5.03,0.291,,5.06,0.197
5.06,0.152,5.06,0.156,5.03,0.282,5.04,0.217,5.03,0.277,,5.07,0.157
5.06,0.151,5.06,0.163,5.03,0.277,5.05,0.178,5.03,0.294,,5.07,0.157
5.06,0.152,5.04,0.24,5.03,0.286,5.03,0.284,5.03,0.271,,5.07,0.157
5.06,0.151,5.04,0.231,5.06,0.176,5.04,0.228,5.03,0.289,,5.07,0.157
5.06,0.151,5.04,0.239,5.03,0.286,5.03,0.278,5.03,0.298,,5.07,0.157
,,5.05,0.198,5.03,0.283,5.03,0.293,5.03,0.281,,5.06,0.196
,,5.06,0.152,5.06,0.157,5.04,0.269,5.04,0.268,,5.06,0.203
,,,,5.06,0.156,5.03,0.294,5.06,0.162,,5.06,0.196
,,,,5.06,0.156,5.03,0.288,5.04,0.25,,5.06,0.21
,,,,5.03,0.276,5.03,0.273,5.03,0.284,,5.06,0.174
,,,,5.06,0.157,5.04,0.268,5.03,0.298,,5.06,0.174
,,,,5.04,0.234,5.03,0.274,5.06,0.171,,5.06,0.174
,,,,5.03,0.282,5.03,0.288,5.06,0.171,,5.06,0.174
,,,,5.03,0.29,5.04,0.241,5.06,0.17,,5.06,0.174
,,,,5.03,0.285,5.04,0.243,5.06,0.17,,5.06,0.198
,,,,5.03,0.283,5.06,0.157,5.06,0.17,,5.05,0.206
,,,,5.03,0.285,5.06,0.156,5.05,0.185,,5.06,0.196
,,,,5.03,0.282,5.03,0.287,5.03,0.278,,5.06,0.197
,,,,5.03,0.291,5.04,0.262,5.03,0.273,,5.06,0.201
,,,,5.03,0.29,5.03,0.29,5.03,0.282,,5.06,0.204
,,,,5.06,0.157,5.03,0.303,5.03,0.276,,5.05,0.207
