goo_volt,slow_goo_amp,slow_mob_volt,slow_mob_amp,slow_es_volt,slow_es_amp,slow_em_volt,slow_em_amp,slow_el_volt,slow_el_amp,Idle,slow_r15_volt,slow_r15_amp
,,,,,,,,5.03,0.305,,5.05,0.199
,,,,,,,,5.03,0.289,,5.05,0.188
,,,,,,,,5.03,0.286,,5.05,0.198
,,,,,,,,5.03,0.3,,5.05,0.198
,,,,,,,,5.03,0.285,,5.05,0.193
,,,,,,,,5.06,0.157,,5.05,0.19
,,,,,,,,5.03,0.282,,5.05,0.195
,,,,,,,,5.03,0.283,,5.05,0.197
,,,,,,,,5.03,0.273,,5.05,0.198
,,,,,,,,5.03,0.268,,5.05,0.187
,,,,,,,,5.05,0.173,,5.05,0.198
,,,,,,,,5.05,0.174,,5.05,0.203
,,,,,,,,5.05,0.174,,5.05,0.199
,,,,,,,,5.04,0.262,,5.05,0.188
,,,,,,,,5.03,0.293,,5.05,0.201
,,,,,,,,5.03,0.304,,5.05,0.194
,,,,,,,,5.03,0.276,,5.05,0.199
,,,,,,,,5.03,0.283,,5.05,0.191
,,,,,,,,5.03,0.274,,5.05,0.193
,,,,,,,,5.06,0.173,,5.05,0.199
,,,,,,,,5.06,0.172,,5.05,0.191
,,,,,,,,5.05,0.172,,5.05,0.199
,,,,,,,,5.03,0.26,,5.05,0.193
,,,,,,,,5.03,0.31,,5.05,0.197
,,,,,,,,5.03,0.304,,5.05,0.189
,,,,,,,,5.03,0.289,,5.05,0.191
,,,,,,,,5.03,0.299,,5.05,0.198
,,,,,,,,5.03,0.286,,5.05,0.202
,,,,,,,,5.04,0.264,,5.05,0.192
,,,,,,,,5.03,0.285,,5.05,0.192
,,,,,,,,5.03,0.275,,5.05,0.198
,,,,,,,,5.03,0.304,,5.05,0.194
,,,,,,,,5.03,0.299,,5.05,0.194
,,,,,,,,5.05,0.175,,5.05,0.193
,,,,,,,,5.05,0.174,,5.05,0.182
,,,,,,,,5.04,0.274,,5.05,0.184
,,,,,,,,5.03,0.309,,5.05,0.19
,,,,,,,,5.05,0.174,,5.06,0.172
,,,,,,,,5.03,0.287,,5.06,0.171
,,,,,,,,5.04,0.242,,5.06,0.169
,,,,,,,,5.05,0.174,,5.05,0.2
,,,,,,,,5.05,0.217,,5.05,0.194
,,,,,,,,5.03,0.277,,5.05,0.206
,,,,,,,,5.03,0.28,,5.05,0.199
,,,,,,,,5.03,0.269,,5.06,0.169
,,,,,,,,5.03,0.296,,5.06,0.169
,,,,,,,,5.03,0.287,,5.05,0.191
,,,,,,,,5.03,0.288,,5.05,0.199
,,,,,,,,5.03,0.295,,5.05,0.194
,,,,,,,,5.03,0.276,,5.05,0.184
,,,,,,,,5.03,0.295,,5.05,0.199
,,,,,,,,5.03,0.276,,5.05,0.183
,,,,,,,,5.06,0.175,,5.05,0.183
,,,,,,,,5.06,0.174,,5.05,0.198
,,,,,,,,5.03,0.314,,5.05,0.196
,,,,,,,,5.03,0.286,,5.05,0.188
,,,,,,,,5.03,0.278,,5.05,0.187
,,,,,,,,5.03,0.299,,5.05,0.199
,,,,,,,,5.03,0.285,,5.05,0.196
,,,,,,,,5.03,0.279,,5.05,0.192
,,,,,,,,5.03,0.295,,5.05,0.195
,,,,,,,,5.05,0.175,,5.05,0.189
,,,,,,,,5.05,0.175,,5.05,0.191
,,,,,,,,5.03,0.277,,5.06,0.183
,,,,,,,,5.03,0.306,,5.05,0.194
,,,,,,,,5.03,0.29,,5.05,0.192
,,,,,,,,5.03,0.279,,5.05,0.192
,,,,,,,,5.05,0.179,,5.05,0.208
,,,,,,,,5.05,0.178,,5.05,0.202
,,,,,,,,5.05,0.178,,5.05,0.204
,,,,,,,,5.05,0.178,,5.05,0.185
,,,,,,,,5.05,0.178,,5.05,0.195
,,,,,,,,5.05,0.177,,5.06,0.173
,,,,,,,,5.03,0.3,,5.06,0.152
,,,,,,,,5.02,0.305,,5.06,0.152
,,,,,,,,5.03,0.276,,5.05,0.193
,,,,,,,,5.05,0.188,,5.05,0.188
,,,,,,,,5.05,0.177,,5.06,0.17
,,,,,,,,5.03,0.288,,5.05,0.198
,,,,,,,,5.04,0.222,,5.05,0.197
,,,,,,,,5.03,0.3,,5.05,0.2
,,,,,,,,5.04,0.255,,5.05,0.2
,,,,,,,,5.05,0.215,,5.05,0.188
,,,,,,,,5.03,0.288,,5.05,0.196
,,,,,,,,5.03,0.277,,5.05,0.197
,,,,,,,,5.04,0.253,,5.05,0.194
,,,,,,,,5.05,0.195,,5.05,0.198
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.194
,,,,,,,,,,,5.05,0.203
,,,,,,,,,,,5.05,0.196
,,,,,,,,,,,5.05,0.189
,,,,,,,,,,,5.05,0.198
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.199
,,,,,,,,,,,5.05,0.197
,,,,,,,,,,,5.05,0.198
,,,,,,,,,,,5.06,0.17
,,,,,,,,,,,5.05,0.191
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.05,0.175
,,,,,,,,,,,5.05,0.198
,,,,,,,,,,,5.05,0.202
,,,,,,,,,,,5.05,0.202
,,,,,,,,,,,5.05,0.197
,,,,,,,,,,,5.05,0.189
,,,,,,,,,,,5.06,0.17
,,,,,,,,,,,5.05,0.196
,,,,,,,,,,,5.05,0.199
,,,,,,,,,,,5.05,0.203
,,,,,,,,,,,5.05,0.19
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.05,0.2
,,,,,,,,,,,5.05,0.196
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.05,0.197
,,,,,,,,,,,5.05,0.198
,,,,,,,,,,,5.05,0.206
,,,,,,,,,,,5.05,0.206
,,,,,,,,,,,5.05,0.204
,,,,,,,,,,,5.05,0.19
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.197
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.203
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.2
,,,,,,,,,,,5.05,0.198
,,,,,,,,,,,5.05,0.169
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.05,0.199
,,,,,,,,,,,5.05,0.197
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.198
,,,,,,,,,,,5.06,0.169
,,,,,,,,,,,5.05,0.191
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.05,0.201
,,,,,,,,,,,5.05,0.19
,,,,,,,,,,,5.06,0.169
,,,,,,,,,,,5.05,0.2
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.197
,,,,,,,,,,,5.05,0.199
,,,,,,,,,,,5.05,0.184
,,,,,,,,,,,5.06,0.169
,,,,,,,,,,,5.05,0.188
,,,,,,,,,,,5.05,0.197
,,,,,,,,,,,5.05,0.197
,,,,,,,,,,,5.05,0.191
,,,,,,,,,,,5.05,0.191
,,,,,,,,,,,5.05,0.199
,,,,,,,,,,,5.05,0.192
,,,,,,,,,,,5.05,0.2
,,,,,,,,,,,5.05,0.195
,,,,,,,,,,,5.05,0.201
,,,,,,,,,,,5.05,0.193
,,,,,,,,,,,5.05,0.194
,,,,,,,,,,,5.05,0.189
,,,,,,,,,,,5.06,0.173
,,,,,,,,,,,5.05,0.191
,,,,,,,,,,,5.05,0.203
,,,,,,,,,,,5.07,0.086
