,top1,fps-comp,NN_Topology,type,hardw,hardw_datatype_net_prun,hw_peak_perf,nn_total_operations,pairs,color
20,87.06,1520.04,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_100,0.87,0.47,True,tx2-maxq_fp16_cnv_100
228,77.82,87000.0,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_12.5,,,True,tx2-maxq_fp16_cnv_12.5
9,77.84,23411.6,CNV,measured,TX2-maxn,tx2-maxn_fp32_cnv_12.5,0.67,0.01,True,tx2-maxn_fp32_cnv_12.5
210,83.28,29000.0,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_25,,,True,tx2-maxq_fp16_cnv_25
192,85.55,7250.0,CNV,predicted,TX2-maxq,tx2-maxq_fp16_cnv_50,,,True,tx2-maxq_fp16_cnv_50
303,77.84,67000.0,CNV,predicted,TX2-maxn,tx2-maxn_fp32_cnv_12.5,,,True,tx2-maxn_fp32_cnv_12.5
253,87.06,936.1702127999998,CNV,predicted,TX2-maxq,tx2-maxq_fp32_cnv_100,,,True,tx2-maxq_fp32_cnv_100
10,83.25,12971.1,CNV,measured,TX2-maxn,tx2-maxn_fp32_cnv_25,0.67,0.03,True,tx2-maxn_fp32_cnv_25
44,81.09,15342.62,CNV,measured,ZCU104-FINN,zcu104-finn_int4_cnv_25,8.8,0.03,True,zcu104-finn_int4_cnv_25
25,77.84,16053.2,CNV,measured,TX2-maxq,tx2-maxq_fp32_cnv_12.5,0.44,0.01,True,tx2-maxq_fp32_cnv_12.5
41,79.89,201600.0,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int2_cnv_25,,,True,zcu104-bismo_int2_cnv_25
33,73.64,883.6335703,CNV,measured,ZCU104-Bismo,zcu104-bismo_int2_cnv_12.5,30.7,0.01,True,zcu104-bismo_int2_cnv_12.5
71,73.64,19200.0,CNV,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_cnv_12.5,,,True,u96-quadcore-a53_int8_cnv_12.5
307,77.84,44000.0,CNV,predicted,TX2-maxq,tx2-maxq_fp32_cnv_12.5,,,True,tx2-maxq_fp32_cnv_12.5
26,83.25,8820.21,CNV,measured,TX2-maxq,tx2-maxq_fp32_cnv_25,0.44,0.03,True,tx2-maxq_fp32_cnv_25
289,83.25,14666.666669999999,CNV,predicted,TX2-maxq,tx2-maxq_fp32_cnv_25,,,True,tx2-maxq_fp32_cnv_25
271,85.6,3666.666667,CNV,predicted,TX2-maxq,tx2-maxq_fp32_cnv_50,,,True,tx2-maxq_fp32_cnv_50
27,85.6,2928.61,CNV,measured,TX2-maxq,tx2-maxq_fp32_cnv_50,0.44,0.12,True,tx2-maxq_fp32_cnv_50
59,73.64,638592.0,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int2_cnv_12.5,,,True,zcu104-bismo_int2_cnv_12.5
93,87.4,408.5106383,CNV,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_cnv_100,,,True,u96-quadcore-a53_int8_cnv_100
17,86.86,408.5106383,CNV,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_cnv_100,,,True,u96-quadcore-a53_int8_cnv_100
147,75.85,19200.0,CNV,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_cnv_12.5,,,True,u96-quadcore-a53_int8_cnv_12.5
53,79.89,6400.0,CNV,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_cnv_25,,,True,u96-quadcore-a53_int8_cnv_25
129,81.09,6400.0,CNV,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_cnv_25,,,True,u96-quadcore-a53_int8_cnv_25
111,84.88,1600.0,CNV,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_cnv_50,,,True,u96-quadcore-a53_int8_cnv_50
35,84.29,1600.0,CNV,predicted,U96-Quadcore-A53,u96-quadcore-a53_int8_cnv_50,,,True,u96-quadcore-a53_int8_cnv_50
0,87.02,265.73900000000003,CNV,measured,NCS,ncs_fp16_cnv_100,0.5,0.47,True,ncs_fp16_cnv_100
116,81.09,100800.0,CNV,predicted,ZCU104-FINN,zcu104-finn_int4_cnv_25,,,True,zcu104-finn_int4_cnv_25
285,83.25,22333.33333,CNV,predicted,TX2-maxn,tx2-maxn_fp32_cnv_25,,,True,tx2-maxn_fp32_cnv_25
43,75.85,25206.016,CNV,measured,ZCU104-FINN,zcu104-finn_int4_cnv_12.5,8.8,0.01,True,zcu104-finn_int4_cnv_12.5
42,87.42,686.76,CNV,measured,ZCU104-FINN,zcu104-finn_int4_cnv_100,8.8,0.47,True,zcu104-finn_int4_cnv_100
23,85.57,5110.47,CNV,measured,TX2-maxq,tx2-maxq_fp16_cnv_50,0.87,0.12,True,tx2-maxq_fp16_cnv_50
172,87.02,2446.8085109999997,CNV,predicted,TX2-maxp,tx2-maxp_fp16_cnv_100,,,True,tx2-maxp_fp16_cnv_100
24,87.06,832.648,CNV,measured,TX2-maxq,tx2-maxq_fp32_cnv_100,0.44,0.47,True,tx2-maxq_fp32_cnv_100
39,73.64,60757.09,CNV,measured,ZCU104-FINN,zcu104-finn_int2_cnv_12.5,30.7,0.01,True,zcu104-finn_int2_cnv_12.5
35,84.29,263.9053073,CNV,measured,ZCU104-Bismo,zcu104-bismo_int2_cnv_50,30.7,0.12,True,zcu104-bismo_int2_cnv_50
23,84.29,49331.2,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int2_cnv_50,,,True,zcu104-bismo_int2_cnv_50
136,75.85,319296.0,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int4_cnv_12.5,,,True,zcu104-bismo_int4_cnv_12.5
36,75.85,605.0294691,CNV,measured,ZCU104-Bismo,zcu104-bismo_int4_cnv_12.5,8.8,0.01,True,zcu104-bismo_int4_cnv_12.5
37,81.09,368.8457025,CNV,measured,ZCU104-Bismo,zcu104-bismo_int4_cnv_25,8.8,0.03,True,zcu104-bismo_int4_cnv_25
118,81.09,100800.0,CNV,predicted,ZCU104-BISMO,zcu104-bismo_int4_cnv_25,,,True,zcu104-bismo_int4_cnv_25
38,86.86,2979.082000000001,CNV,measured,ZCU104-FINN,zcu104-finn_int2_cnv_100,30.7,0.47,True,zcu104-finn_int2_cnv_100
3,86.86,12457.94043,CNV,predicted,ZCU104-FINN,zcu104-finn_int2_cnv_100,,,True,zcu104-finn_int2_cnv_100
57,73.64,638592.0,CNV,predicted,ZCU104-FINN,zcu104-finn_int2_cnv_12.5,,,True,zcu104-finn_int2_cnv_12.5
39,79.89,201600.0,CNV,predicted,ZCU104-FINN,zcu104-finn_int2_cnv_25,,,True,zcu104-finn_int2_cnv_25
34,79.89,581.7145176,CNV,measured,ZCU104-Bismo,zcu104-bismo_int2_cnv_25,30.7,0.03,True,zcu104-bismo_int2_cnv_25
40,79.89,30286.897,CNV,measured,ZCU104-FINN,zcu104-finn_int2_cnv_25,30.7,0.03,True,zcu104-finn_int2_cnv_25
21,84.29,49331.2,CNV,predicted,ZCU104-FINN,zcu104-finn_int2_cnv_50,,,True,zcu104-finn_int2_cnv_50
41,84.29,17029.769,CNV,measured,ZCU104-FINN,zcu104-finn_int2_cnv_50,30.7,0.12,True,zcu104-finn_int2_cnv_50
80,87.4,6228.9702130000005,CNV,predicted,ZCU104-FINN,zcu104-finn_int4_cnv_100,,,True,zcu104-finn_int4_cnv_100
134,75.85,319296.0,CNV,predicted,ZCU104-FINN,zcu104-finn_int4_cnv_12.5,,,True,zcu104-finn_int4_cnv_12.5
45,84.88,8209.332,CNV,measured,ZCU104-FINN,zcu104-finn_int4_cnv_50,8.8,0.12,True,zcu104-finn_int4_cnv_50
