,,CIFAR-10 Classification,
Hardware,Platform,CNV,Batch/Stream/Thread
FPGA,ZCU102-DPU,na,na
FPGA,ZCU104-DPU,na,na
FPGA,Ultra96-DPU,na,na
FPGA,ZCU104-FINN,"[INT2,INT4]*[100%,50%,25%,12.5%]","[2,4]"
FPGA,ZCU104-BISMO,"[INT2,INT4]*[100%,50%,25%,12.5%]","[2,4]"
GPU,TX2-maxn,"[FP16,FP32]*[100%,50%,25%,12.5%]","[16,32]"
GPU,TX2-maxp,"[FP16,FP32]*[100%,50%,25%,12.5%]","[16,32]"
GPU,TX2-maxq,"[FP16,FP32]*[100%,50%,25%,12.5%]","[16,32]"
TPU,TPU-fast clk,na,na
TPU,TPU-slow clk,na,na
VLIW,NCS,"[FP16]*[100%,50%,25%,12.5%]",[16]
CPU,U96-Quadcore A53,"[INT2,INT4]*[100%,50%,25%,12.5%]","[2,4]"
