NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
CNV,NCS2,FP16,,16,47.84,23.1369,334.42800000000005,691.5369999999999,39.771393740208005,82.24009446853199,85.55,,0.53,1.2,1.75,1.902778176,50.0,l3,0.5,12.8,0.12,NCS2_FP16_50%_CNV,0.001588949593125643,FP16_NCS2,NCS2_FP16_CNV_50.0
CNV,NCS2,FP16,,32,94.62,44.7066,338.17800000000005,715.779,40.217357375208,85.123041252444,85.55,,0.53,1.2,1.77,3.805556352,50.0,l3,0.5,12.8,0.12,NCS2_FP16_50%_CNV,0.003070270169297999,FP16_NCS2,NCS2_FP16_CNV_50.0
CNV,NCS2,FP16,,64,187.07,87.2444,342.12,733.571,40.68615434832,87.23893058415601,85.55,,0.53,1.2,1.78,7.611112704,50.0,l3,0.5,12.8,0.12,NCS2_FP16_50%_CNV,0.005991595843976109,FP16_NCS2,NCS2_FP16_CNV_50.0
CNV,NCS2,FP16,,128,370.83,173.158,345.16900000000004,739.209,41.04875251448401,87.909422043924,85.55,,0.53,1.2,1.8,15.222225408,50.0,l3,0.5,12.8,0.12,NCS2_FP16_50%_CNV,0.011891797675853294,FP16_NCS2,NCS2_FP16_CNV_50.0
CNV,NCS2,FP16,,1,6.6,4.97914,151.555,200.838,71.14749475,94.2833991,87.02,,0.53,1.2,1.728796,0.46945,100.0,l3,0.5,12.8,0.47,NCS2_FP16_100%_CNV,0.0003419473860852411,FP16_NCS2,NCS2_FP16_CNV_100.0
CNV,NCS2,FP16,,2,12.29,8.93829,162.738,223.757,76.3973541,105.04272365,87.02,,0.53,1.2,1.7803,0.9389,100.0,l3,0.5,12.8,0.47,NCS2_FP16_100%_CNV,0.0006138459455994106,FP16_NCS2,NCS2_FP16_CNV_100.0
CNV,NCS2,FP16,,4,23.35,16.8473,171.28400000000002,237.426,80.40927380000001,111.45963569999999,87.02,,0.53,1.2,1.82302425,1.8778,100.0,l3,0.5,12.8,0.47,NCS2_FP16_100%_CNV,0.00115700506464849,FP16_NCS2,NCS2_FP16_CNV_100.0
CNV,NCS2,FP16,,8,45.13,31.8658,177.25900000000001,251.053,83.21423755,117.85683085,87.02,,0.53,1.2,1.86092125,3.7556,100.0,l3,0.5,12.8,0.47,NCS2_FP16_100%_CNV,0.0021884154724540936,FP16_NCS2,NCS2_FP16_CNV_100.0
CNV,NCS2,FP16,,16,88.1,61.7732,181.62099999999998,259.012,85.26197844999999,121.5931834,87.02,,0.53,1.2,1.8794594869999999,7.5112,100.0,l3,0.5,12.8,0.47,NCS2_FP16_100%_CNV,0.0042423358793126555,FP16_NCS2,NCS2_FP16_CNV_100.0
CNV,NCS2,FP16,,32,174.8,121.825,183.067,262.673,85.94080315,123.31183985,87.02,,0.53,1.2,1.903724615,15.0224,100.0,l3,0.5,12.8,0.47,NCS2_FP16_100%_CNV,0.00836645290348022,FP16_NCS2,NCS2_FP16_CNV_100.0
