config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"FP16,b1",3.9694800000000003,2.3854900000000003,251.922,419.20099999999996,42.1773,70.1835,GPU,MYRIAD,cnv,s1.0,1,FP16
"FP16,b2",7.03034,3.9390199999999997,284.481,507.74,47.6284,85.0068,GPU,MYRIAD,cnv,s1.0,2,FP16
"FP16,b4",12.8626,6.68938,310.97900000000004,597.9630000000001,52.0648,100.11200000000001,GPU,MYRIAD,cnv,s1.0,4,FP16
"FP16,b8",24.8886,12.4153,321.433,644.367,53.8149,107.881,GPU,MYRIAD,cnv,s1.0,8,FP16
"FP16,b16",47.8429,23.1369,334.42800000000005,691.5369999999999,55.9906,115.77799999999999,GPU,MYRIAD,cnv,s1.0,16,FP16
"FP16,b32",94.6248,44.7066,338.17800000000005,715.779,56.6184,119.837,GPU,MYRIAD,cnv,s1.0,32,FP16
"FP16,b64",187.06900000000002,87.2444,342.12,733.571,57.2784,122.816,GPU,MYRIAD,cnv,s1.0,64,FP16
"FP16,b128",370.833,173.158,345.16900000000004,739.209,57.7889,123.76,GPU,MYRIAD,cnv,s1.0,128,FP16
