config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"maxn,FP16,b1",0.870927,0.521591,1132.74,1958.87,189.646,327.958,GPU,TX2,cnv,s1.0,1,FP16
"maxn,FP16,b2",1.30844,0.7513479999999999,1532.93,2730.24,256.647,457.103,GPU,TX2,cnv,s1.0,2,FP16
"maxn,FP16,b4",2.11475,1.1148,1928.44,3693.31,322.863,618.341,GPU,TX2,cnv,s1.0,4,FP16
"maxn,FP16,b8",3.48001,1.64582,2306.31,5041.7,386.126,844.092,GPU,TX2,cnv,s1.0,8,FP16
"maxn,FP16,b16",6.1257,2.66188,2632.39,6201.81,440.72,1038.32,GPU,TX2,cnv,s1.0,16,FP16
"maxn,FP16,b32",11.4486,4.68375,2820.94,6946.0,472.287,1162.91,GPU,TX2,cnv,s1.0,32,FP16
"maxn,FP16,b64",21.9456,8.83987,2951.01,7446.51,494.064,1246.71,GPU,TX2,cnv,s1.0,64,FP16
"maxn,FP16,b128",42.3177,16.7598,2942.53,7688.55,492.644,1287.23,GPU,TX2,cnv,s1.0,128,FP16
"maxn,FP32,b1",0.993108,0.6496390000000001,1007.87,1533.57,168.74,256.753,GPU,TX2,cnv,s1.0,1,FP32
"maxn,FP32,b2",1.60047,1.04243,1242.72,1939.25,208.058,324.673,GPU,TX2,cnv,s1.0,2,FP32
"maxn,FP32,b4",2.7583599999999997,1.74928,1475.5,2316.46,247.032,387.827,GPU,TX2,cnv,s1.0,4,FP32
"maxn,FP32,b8",4.58777,2.66016,1768.57,3048.72,296.097,510.42199999999997,GPU,TX2,cnv,s1.0,8,FP32
"maxn,FP32,b16",8.07417,4.49277,2007.84,3605.98,336.157,603.72,GPU,TX2,cnv,s1.0,16,FP32
"maxn,FP32,b32",15.2141,8.15209,2124.48,4036.71,355.685,675.834,GPU,TX2,cnv,s1.0,32,FP32
"maxn,FP32,b64",29.7863,15.125,2151.26,4225.9,360.168,707.5089999999999,GPU,TX2,cnv,s1.0,64,FP32
"maxn,FP32,b128",58.4008,29.4311,2206.9,4368.77,369.483,731.428,GPU,TX2,cnv,s1.0,128,FP32
"maxq,FP16,b1",1.1512200000000001,0.714379,862.679,1406.98,144.431,235.55900000000003,GPU,TX2,cnv,s1.0,1,FP16
"maxq,FP16,b2",1.78446,1.0389700000000002,1124.04,1941.67,188.18900000000002,325.078,GPU,TX2,cnv,s1.0,2,FP16
