config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"maxq,FP16,b4",2.93455,1.58164,1365.33,2536.6,228.58700000000002,424.68300000000005,GPU,TX2,cnv,s1.0,4,FP16
"maxq,FP16,b8",4.89795,2.32954,1635.78,3465.99,273.866,580.284,GPU,TX2,cnv,s1.0,8,FP16
"maxq,FP16,b16",8.81917,3.83584,1809.19,4225.43,302.89799999999997,707.431,GPU,TX2,cnv,s1.0,16,FP16
"maxq,FP16,b32",18.3192,7.598339999999999,1771.63,4015.25,296.60900000000004,672.24,GPU,TX2,cnv,s1.0,32,FP16
"maxq,FP16,b64",32.5829,12.9927,1961.69,5025.52,328.42900000000003,841.383,GPU,TX2,cnv,s1.0,64,FP16
"maxq,FP16,b128",64.8614,24.7186,2000.0,5081.21,334.844,850.706,GPU,TX2,cnv,s1.0,128,FP16
"maxq,FP32,b1",1.36312,0.906695,731.951,1093.18,122.545,183.023,GPU,TX2,cnv,s1.0,1,FP32
"maxq,FP32,b2",2.22949,1.46481,895.105,1364.33,149.86,228.418,GPU,TX2,cnv,s1.0,2,FP32
"maxq,FP32,b4",3.8963,2.51884,1013.86,1579.34,169.743,264.416,GPU,TX2,cnv,s1.0,4,FP32
"maxq,FP32,b8",6.4535,3.84628,1236.71,2091.79,207.053,350.211,GPU,TX2,cnv,s1.0,8,FP32
"maxq,FP32,b16",11.6947,6.53402,1381.92,2437.0,231.363,408.00699999999995,GPU,TX2,cnv,s1.0,16,FP32
"maxq,FP32,b32",21.9289,12.0145,1448.37,2703.69,242.49,452.658,GPU,TX2,cnv,s1.0,32,FP32
"maxq,FP32,b64",42.4988,22.6636,1503.67,2873.27,251.748,481.04900000000004,GPU,TX2,cnv,s1.0,64,FP32
"maxq,FP32,b128",82.5867,43.7959,1546.83,2965.53,258.973,496.495,GPU,TX2,cnv,s1.0,128,FP32
"maxp,FP16,b1",1.10325,0.614525,911.0319999999999,1728.42,152.52700000000002,289.376,GPU,TX2,cnv,s1.0,1,FP16
"maxp,FP16,b2",1.7140099999999998,0.869625,1181.08,2356.48,197.739,394.527,GPU,TX2,cnv,s1.0,2,FP16
"maxp,FP16,b4",2.86167,1.30798,1444.29,3079.05,241.80599999999998,515.501,GPU,TX2,cnv,s1.0,4,FP16
"maxp,FP16,b8",4.75157,1.8959,1701.0,4311.11,284.784,721.7739999999999,GPU,TX2,cnv,s1.0,8,FP16
"maxp,FP16,b16",8.709060000000001,3.20412,1861.82,5397.4,311.709,903.643,GPU,TX2,cnv,s1.0,16,FP16
"maxp,FP16,b32",16.0309,5.52516,2011.79,6051.51,336.81800000000004,1013.16,GPU,TX2,cnv,s1.0,32,FP16
"maxp,FP16,b64",30.3986,10.3219,2124.48,6394.84,355.685,1070.64,GPU,TX2,cnv,s1.0,64,FP16
"maxp,FP16,b128",59.5817,19.1906,2151.26,6716.96,360.168,1124.57,GPU,TX2,cnv,s1.0,128,FP16
"maxp,FP32,b1",1.24403,0.76179,800.0,1320.81,133.938,221.13299999999998,GPU,TX2,cnv,s1.0,1,FP32
"maxp,FP32,b2",2.05326,1.21852,992.248,1673.86,166.12400000000002,280.242,GPU,TX2,cnv,s1.0,2,FP32
"maxp,FP32,b4",3.48415,2.02073,1147.98,2014.71,192.197,337.30699999999996,GPU,TX2,cnv,s1.0,4,FP32
"maxp,FP32,b8",5.87064,3.09366,1354.5,2607.32,226.773,436.523,GPU,TX2,cnv,s1.0,8,FP32
"maxp,FP32,b16",10.4478,5.28014,1514.79,3158.63,253.61,528.8240000000001,GPU,TX2,cnv,s1.0,16,FP32
"maxp,FP32,b32",19.6829,9.37372,1638.4,3471.92,274.30400000000003,581.275,GPU,TX2,cnv,s1.0,32,FP32
"maxp,FP32,b64",37.4388,17.8324,1706.67,3664.18,285.73400000000004,613.465,GPU,TX2,cnv,s1.0,64,FP32
"maxp,FP32,b128",74.1055,33.6915,1741.5,3819.17,291.565,639.413,GPU,TX2,cnv,s1.0,128,FP32
