config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"FP16,b1",6.59824,4.97914,151.555,200.838,100.419,133.07299999999998,GPU,MYRIAD,cnv,s2.0,1,FP16
"FP16,b2",12.2897,8.93829,162.738,223.757,107.829,148.259,GPU,MYRIAD,cnv,s2.0,2,FP16
"FP16,b4",23.353,16.8473,171.28400000000002,237.426,113.491,157.316,GPU,MYRIAD,cnv,s2.0,4,FP16
"FP16,b8",45.1317,31.8658,177.25900000000001,251.053,117.45,166.345,GPU,MYRIAD,cnv,s2.0,8,FP16
"FP16,b16",88.0955,61.7732,181.62099999999998,259.012,120.34,171.618,GPU,MYRIAD,cnv,s2.0,16,FP16
"FP16,b32",174.799,121.825,183.067,262.673,121.29799999999999,174.044,GPU,MYRIAD,cnv,s2.0,32,FP16
"FP16,b64",348.38199999999995,242.09799999999998,183.706,264.356,121.72200000000001,175.15900000000002,GPU,MYRIAD,cnv,s2.0,64,FP16
"FP16,b128",694.745,481.675,184.24,265.73900000000003,122.07600000000001,176.076,GPU,MYRIAD,cnv,s2.0,128,FP16
