NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1 [%],top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level
CNV,GPU,FP32,maxq,128,153.728,671.916,832.648,,,87.06,,1.8,4.15,9.3,60.089565184,100%,l3
CNV,GPU,FP32,maxp,1,1.9405,430.252,515.51,,,87.06,,1.8,4.7,11.1,0.469449728,100%,l3
CNV,GPU,FP32,maxp,2,3.34552,501.224,598.786,,,87.06,,1.8,4.7,12.4,0.938899456,100%,l3
CNV,GPU,FP32,maxp,4,5.68452,585.812,703.573,,,87.06,,1.8,4.7,11.8,1.877798912,100%,l3
CNV,GPU,FP32,maxp,8,9.38038,691.425,851.171,,,87.06,,1.8,4.7,11.8,3.755597824,100%,l3
CNV,GPU,FP32,maxp,16,16.9903,757.396,954.766,,,87.06,,1.8,4.7,11.7,7.511195648,100%,l3
CNV,GPU,FP32,maxp,32,31.2828,809.486,1031.79,,,87.06,,1.8,4.7,11.6,15.022391296,100%,l3
CNV,GPU,FP32,maxp,64,61.0857,829.822,1057.7,,,87.06,,1.8,4.7,12.4,30.044782592,100%,l3
CNV,GPU,FP32,maxp,128,119.453,839.344,1072.66,,,87.06,,1.8,4.7,12.4,60.089565184,100%,l3
CNV,ZCU102-DPU,INT8,,1,,,,,,,,,,,,100%,l3
CNV,ZCU102-DPU,INT8,,2,,,,,,,,,,,,100%,l3
CNV,ZCU102-DPU,INT8,,3,,,,,,,,,,,,100%,l3
CNV,ZCU102-DPU,INT8,,4,,,,,,,,,,,,100%,l3
CNV,ZCU102-DPU,INT8,,5,,,,,,,,,,,,100%,l3
CNV,ZCU102-DPU,INT8,,6,,,,,,,,,,,,100%,l3
CNV,ZCU102-DPU,INT8,,7,,,,,,,,,,,,100%,l3
CNV,ZCU102-DPU,INT8,,8,,,,,,,,,,,,100%,l3
CNV,ZCU104-DPU,INT8,,1,,,,,,,,,,,,100%,l3
CNV,ZCU104-DPU,INT8,,2,,,,,,,,,,,,100%,l3
CNV,ZCU104-DPU,INT8,,3,,,,,,,,,,,,100%,l3
CNV,ZCU104-DPU,INT8,,4,,,,,,,,,,,,100%,l3
CNV,ZCU104-DPU,INT8,,5,,,,,,,,,,,,100%,l3
CNV,ZCU104-DPU,INT8,,6,,,,,,,,,,,,100%,l3
CNV,ZCU104-DPU,INT8,,7,,,,,,,,,,,,100%,l3
CNV,ZCU104-DPU,INT8,,8,,,,,,,,,,,,100%,l3
CNV,Ultra96-DPU,INT8,,1,,,,,,,,,,,,100%,l3
CNV,Ultra96-DPU,INT8,,2,,,,,,,,,,,,100%,l3
CNV,Ultra96-DPU,INT8,,3,,,,,,,,,,,,100%,l3
