NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
MLP,NCS,FP16,,32,75.78,24.5905,422.289,1301.31,2.4577219799999996,7.573624199999999,98.75,,0.53,1.2,1.956,0.18624,50.0,l3,0.5,12.8,0.0058200000000000005,NCS_FP16_50%_MLP,0.05649559807381267,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,64,149.82,47.9514,427.18800000000005,1334.68,2.48623416,7.7678376,98.75,,0.53,1.2,1.985,0.37248,50.0,l3,0.5,12.8,0.0058200000000000005,NCS_FP16_50%_MLP,0.11016624393471548,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,128,297.84,93.3654,429.76800000000003,1370.96,2.50124976,7.9789872,98.75,,0.53,1.2,2.01,0.74496,50.0,l3,0.5,12.8,0.0058200000000000005,NCS_FP16_50%_MLP,0.21450292236435817,FP16_NCS,NCS_FP16_MLP_50.0
MLP,NCS,FP16,,1,4.57,2.89257,218.893,345.713,4.3842078970000005,6.924285677000001,98.86,,0.53,1.2,1.794,0.020029,100.0,l3,0.5,12.8,0.02,NCS_FP16_100%_MLP,0.006645553043670049,FP16_NCS,NCS_FP16_MLP_100.0
MLP,NCS,FP16,,2,8.09,4.68459,247.308,426.931,4.953331932,8.551000999000001,98.86,,0.53,1.2,1.949,0.040058,100.0,l3,0.5,12.8,0.02,NCS_FP16_100%_MLP,0.010762640604322894,FP16_NCS,NCS_FP16_MLP_100.0
MLP,NCS,FP16,,4,14.84,8.118210000000001,269.491,492.719,5.397635239,9.868668851,98.86,,0.53,1.2,1.946,0.080116,100.0,l3,0.5,12.8,0.02,NCS_FP16_100%_MLP,0.01865123235553595,FP16_NCS,NCS_FP16_MLP_100.0
MLP,NCS,FP16,,8,28.3,14.8038,282.686,540.4,5.661917894,10.8236716,98.86,,0.53,1.2,2.084,0.160232,100.0,l3,0.5,12.8,0.02,NCS_FP16_100%_MLP,0.034011082928981036,FP16_NCS,NCS_FP16_MLP_100.0
MLP,NCS,FP16,,16,54.64,27.4935,292.848,581.956,5.8654525920000005,11.655996724000001,98.86,,0.53,1.2,2.136,0.320464,100.0,l3,0.5,12.8,0.02,NCS_FP16_100%_MLP,0.06316511358623732,FP16_NCS,NCS_FP16_MLP_100.0
MLP,NCS,FP16,,32,107.39,53.0572,297.97,603.122,5.968041130000001,12.079930538,98.86,,0.53,1.2,2.135,0.640928,100.0,l3,0.5,12.8,0.02,NCS_FP16_100%_MLP,0.12189659608881047,FP16_NCS,NCS_FP16_MLP_100.0
MLP,NCS,FP16,,64,212.26,104.435,301.514,612.823,6.039023906000001,12.274231867000001,98.86,,0.53,1.2,2.186,1.281856,100.0,l3,0.5,12.8,0.02,NCS_FP16_100%_MLP,0.23993484414056757,FP16_NCS,NCS_FP16_MLP_100.0
MLP,NCS,FP16,,128,421.84,206.007,303.434,621.337,6.077479586000001,12.444758773,98.86,,0.53,1.2,2.2119999999999997,2.563712,100.0,l3,0.5,12.8,0.02,NCS_FP16_100%_MLP,0.4732920710189678,FP16_NCS,NCS_FP16_MLP_100.0
MLP,TX2-maxn,FP16,maxn,1,0.43,0.20277699999999999,2343.25,5325.37,1.56763425,3.56267253,97.15,,1.8,5.7,8.873,0.000669,12.5,l3,1.33,59.7,0.0007,TX2-maxn_FP16_12.50%_MLP,0.00046587128731068953,FP16_TX2-maxn,TX2-maxn_FP16_MLP_12.5
MLP,TX2-maxn,FP16,maxn,2,0.55,0.204525,3696.75,10723.4,2.47312575,7.1739546,97.15,,1.8,5.7,8.94,0.001338,12.5,l3,1.33,59.7,0.0007,TX2-maxn_FP16_12.50%_MLP,0.0004698872408469343,FP16_TX2-maxn,TX2-maxn_FP16_MLP_12.5
MLP,TX2-maxn,FP16,maxn,4,0.79,0.213211,5251.28,21046.1,3.51310632,14.079840899999999,97.15,,1.8,5.7,9.075,0.002676,12.5,l3,1.33,59.7,0.0007,TX2-maxn_FP16_12.50%_MLP,0.0004898429458903103,FP16_TX2-maxn,TX2-maxn_FP16_MLP_12.5
MLP,TX2-maxn,FP16,maxn,8,1.28,0.228156,6606.45,40997.7,4.41971505,27.427461299999997,97.15,,1.8,5.7,9.354,0.005352,12.5,l3,1.33,59.7,0.0007,TX2-maxn_FP16_12.50%_MLP,0.0005241784296426996,FP16_TX2-maxn,TX2-maxn_FP16_MLP_12.5
MLP,TX2-maxn,FP16,maxn,16,1.88,0.194656,7937.98,97181.4,5.310508619999999,65.0143566,97.15,,1.8,5.7,10.042,0.010704,12.5,l3,1.33,59.7,0.0007,TX2-maxn_FP16_12.50%_MLP,0.0004472136450521982,FP16_TX2-maxn,TX2-maxn_FP16_MLP_12.5
MLP,TX2-maxn,FP16,maxn,32,4.22,0.362031,8533.33,175553.0,5.70879777,117.444957,97.15,,1.8,5.7,9.901,0.021408,12.5,l3,1.33,59.7,0.0007,TX2-maxn_FP16_12.50%_MLP,0.000831750385972651,FP16_TX2-maxn,TX2-maxn_FP16_MLP_12.5
MLP,TX2-maxn,FP16,maxn,64,7.92,0.507188,8462.81,231203.0,5.66161989,154.674807,97.15,,1.8,5.7,10.323,0.042816,12.5,l3,1.33,59.7,0.0007,TX2-maxn_FP16_12.50%_MLP,0.0011652422437876781,FP16_TX2-maxn,TX2-maxn_FP16_MLP_12.5
MLP,TX2-maxn,FP16,maxn,128,14.78,0.6255,8827.59,297674.0,5.90565771,199.143906,97.15,,1.8,5.7,11.0,0.085632,12.5,l3,1.33,59.7,0.0007,TX2-maxn_FP16_12.50%_MLP,0.0014370588883987647,FP16_TX2-maxn,TX2-maxn_FP16_MLP_12.5
MLP,TX2-maxq,FP16,maxq,1,0.58,0.28481799999999996,1706.67,3658.41,1.14176223,2.44747629,97.15,,1.8,4.15,5.221,0.000669,12.5,l3,0.87,59.7,0.0007,TX2-maxq_FP16_12.50%_MLP,0.0006543568960446992,FP16_TX2-maxq,TX2-maxq_FP16_MLP_12.5
MLP,TX2-maxq,FP16,maxq,2,0.74,0.290838,2687.66,7297.24,1.7980445399999998,4.88185356,97.15,,1.8,4.15,5.229,0.001338,12.5,l3,0.87,59.7,0.0007,TX2-maxq_FP16_12.50%_MLP,0.0006681875827084252,FP16_TX2-maxq,TX2-maxq_FP16_MLP_12.5
MLP,TX2-maxq,FP16,maxq,4,1.06,0.29370300000000005,3778.6,14582.3,2.5278834,9.7555587,97.15,,1.8,4.15,5.3260000000000005,0.002676,12.5,l3,0.87,59.7,0.0007,TX2-maxq_FP16_12.50%_MLP,0.0006747697948831055,FP16_TX2-maxq,TX2-maxq_FP16_MLP_12.5
MLP,TX2-maxq,FP16,maxq,8,1.67,0.305648,4807.51,28726.1,3.21622419,19.2177609,97.15,,1.8,4.15,5.466,0.005352,12.5,l3,0.87,59.7,0.0007,TX2-maxq_FP16_12.50%_MLP,0.0007022129098661961,FP16_TX2-maxq,TX2-maxq_FP16_MLP_12.5
