config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"FP16,b1",3.50242,1.95433,285.517,511.684,12.2038,21.8709,GPU,MYRIAD,cnv,s0.5,1,FP16
"FP16,b2",5.79922,2.80634,344.874,712.672,14.7409,30.4617,GPU,MYRIAD,cnv,s0.5,2,FP16
"FP16,b4",10.7316,4.62598,372.73,864.682,15.9316,36.9591,GPU,MYRIAD,cnv,s0.5,4,FP16
"FP16,b8",20.3091,7.97099,393.913,1003.64,16.837,42.8985,GPU,MYRIAD,cnv,s0.5,8,FP16
"FP16,b16",39.2279,14.6403,407.87300000000005,1092.87,17.4337,46.7127,GPU,MYRIAD,cnv,s0.5,16,FP16
"FP16,b32",76.524,27.921,418.16900000000004,1146.09,17.8738,48.9873,GPU,MYRIAD,cnv,s0.5,32,FP16
"FP16,b64",151.569,53.2949,422.25,1200.87,18.0482,51.3286,GPU,MYRIAD,cnv,s0.5,64,FP16
"FP16,b128",299.80400000000003,105.63,426.94599999999997,1211.78,18.249000000000002,51.7951,GPU,MYRIAD,cnv,s0.5,128,FP16
