NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor, level,hw_peak_perf,hw_bandwidth,nn_total_operations,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
GoogLeNetv1,TX2-maxq,FP16,maxq,1,12.66,7.784560000000001,78.1978,133.34799999999998,244.75911399999998,417.3792399999999,66.928,87.83200000000001,1.8,4.15,5.88,3.13,100.0,l3,0.87,59.7,3.1,TX2-maxq_FP16_100%_GoogLeNetv1,0.006481084321300121,FP16_TX2-maxq,TX2-maxq_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP16,maxq,2,22.01,13.4344,90.0457,151.416,281.84304099999997,473.93208,66.928,87.83200000000001,1.8,4.15,6.01,6.26,100.0,l3,0.87,59.7,3.1,TX2-maxq_FP16_100%_GoogLeNetv1,0.011184894098841082,FP16_TX2-maxq,TX2-maxq_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP16,maxq,4,40.05,24.073,99.8635,166.861,312.572755,522.2749299999999,66.928,87.83200000000001,1.8,4.15,6.13,12.52,100.0,l3,0.87,59.7,3.1,TX2-maxq_FP16_100%_GoogLeNetv1,0.020042127347808716,FP16_TX2-maxq,TX2-maxq_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP16,maxq,8,76.28,45.5164,104.70299999999999,176.058,327.72038999999995,551.0615399999999,66.928,87.83200000000001,1.8,4.15,6.2,25.04,100.0,l3,0.87,59.7,3.1,TX2-maxq_FP16_100%_GoogLeNetv1,0.0378949646996137,FP16_TX2-maxq,TX2-maxq_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP16,maxq,16,147.48,88.0654,108.682,181.916,340.17466,569.39708,66.928,87.83200000000001,1.8,4.15,6.24,50.08,100.0,l3,0.87,59.7,3.1,TX2-maxq_FP16_100%_GoogLeNetv1,0.07331940189156787,FP16_TX2-maxq,TX2-maxq_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP16,maxq,32,288.64,172.672,110.476,185.18200000000002,345.78988,579.6196600000001,66.928,87.83200000000001,1.8,4.15,6.24,100.16,100.0,l3,0.87,59.7,3.1,TX2-maxq_FP16_100%_GoogLeNetv1,0.14375915811908885,FP16_TX2-maxq,TX2-maxq_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP16,maxq,64,597.86,341.608,106.22399999999999,187.247,332.48112,586.08311,66.928,87.83200000000001,1.8,4.15,6.09,200.32,100.0,l3,0.87,59.7,3.1,TX2-maxq_FP16_100%_GoogLeNetv1,0.2844078859730918,FP16_TX2-maxq,TX2-maxq_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxq,FP16,maxq,128,"1,234.82",681.072,103.205,187.84599999999998,323.03164999999996,587.9579799999999,66.928,87.83200000000001,1.8,4.15,6.03,400.64,100.0,l3,0.87,59.7,3.1,TX2-maxq_FP16_100%_GoogLeNetv1,0.5670307712801386,FP16_TX2-maxq,TX2-maxq_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP16,maxp,1,9.93,6.16337,99.8245,169.338,312.45068499999996,530.02794,66.928,87.83200000000001,1.8,4.7,8.07,3.13,100.0,l3,1.15,59.7,3.1,TX2-maxp_FP16_100%_GoogLeNetv1,0.005131352404422539,FP16_TX2-maxp,TX2-maxp_FP16_GoogLeNetv1_100.0
GoogLeNetv1,TX2-maxp,FP16,maxp,2,17.06,10.6197,108.36,192.363,339.16679999999997,602.09619,66.928,87.83200000000001,1.8,4.7,8.28,6.26,100.0,l3,1.15,59.7,3.1,TX2-maxp_FP16_100%_GoogLeNetv1,0.008841497935260425,FP16_TX2-maxp,TX2-maxp_FP16_GoogLeNetv1_100.0
