config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"FP16,b1",3.40354,1.9000400000000002,293.812,526.305,3.2698400000000003,5.85725,GPU,MYRIAD,cnv,s0.25,1,FP16
"FP16,b2",5.60901,2.55363,356.569,783.197,3.96826,8.7162,GPU,MYRIAD,cnv,s0.25,2,FP16
"FP16,b4",10.09,3.9493099999999997,396.43199999999996,1012.84,4.4118900000000005,11.2718,GPU,MYRIAD,cnv,s0.25,4,FP16
"FP16,b8",19.1767,6.9200800000000005,417.17199999999997,1156.06,4.64271,12.8658,GPU,MYRIAD,cnv,s0.25,8,FP16
"FP16,b16",37.0119,12.6046,432.293,1269.38,4.81099,14.1269,GPU,MYRIAD,cnv,s0.25,16,FP16
"FP16,b32",72.7417,23.6896,439.912,1350.8,4.89579,15.0331,GPU,MYRIAD,cnv,s0.25,32,FP16
"FP16,b64",143.088,45.6772,447.278,1401.14,4.97775,15.5932,GPU,MYRIAD,cnv,s0.25,64,FP16
"FP16,b128",284.73400000000004,89.2251,449.542,1434.57,5.00295,15.9654,GPU,MYRIAD,cnv,s0.25,128,FP16
