config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"maxn,FP16,b1",1.49448,1.12375,669.7189999999999,907.5939999999999,443.74800000000005,601.362,GPU,TX2,cnv,s2.0,1,FP16
"maxn,FP16,b2",2.44116,1.8186099999999998,817.8910000000001,1117.29,541.9259999999999,740.301,GPU,TX2,cnv,s2.0,2,FP16
"maxn,FP16,b4",3.9152699999999996,3.0228200000000003,1031.22,1330.45,683.2739999999999,881.5419999999999,GPU,TX2,cnv,s2.0,4,FP16
"maxn,FP16,b8",6.49214,4.77192,1245.74,1677.01,825.415,1111.17,GPU,TX2,cnv,s2.0,8,FP16
"maxn,FP16,b16",11.7567,8.33292,1395.1,1926.93,924.375,1276.76,GPU,TX2,cnv,s2.0,16,FP16
"maxn,FP16,b32",21.994,15.4536,1473.38,2102.96,976.2460000000001,1393.4,GPU,TX2,cnv,s2.0,32,FP16
"maxn,FP16,b64",42.8181,29.305,1508.1,2204.53,999.2510000000001,1460.69,GPU,TX2,cnv,s2.0,64,FP16
"maxn,FP16,b128",85.5149,57.18600000000001,1560.98,2246.88,1034.29,1488.76,GPU,TX2,cnv,s2.0,128,FP16
"maxn,FP32,b1",1.98384,1.6953,503.194,589.925,333.411,390.87800000000004,GPU,TX2,cnv,s2.0,1,FP32
"maxn,FP32,b2",3.4049400000000003,2.9047,589.183,686.576,390.38599999999997,454.918,GPU,TX2,cnv,s2.0,2,FP32
"maxn,FP32,b4",5.893009999999999,4.98263,684.95,803.689,453.84,532.515,GPU,TX2,cnv,s2.0,4,FP32
"maxn,FP32,b8",9.89666,8.19413,810.127,976.368,536.781,646.931,GPU,TX2,cnv,s2.0,8,FP32
"maxn,FP32,b16",18.1251,14.8535,885.813,1095.87,586.93,726.113,GPU,TX2,cnv,s2.0,16,FP32
"maxn,FP32,b32",33.8151,27.2365,949.0269999999999,1177.04,628.815,779.893,GPU,TX2,cnv,s2.0,32,FP32
"maxn,FP32,b64",65.7134,53.1081,977.0989999999999,1215.65,647.415,805.477,GPU,TX2,cnv,s2.0,64,FP32
"maxn,FP32,b128",129.931,103.83,990.329,1229.9,656.181,814.915,GPU,TX2,cnv,s2.0,128,FP32
"maxq,FP16,b1",2.03788,1.58586,490.18699999999995,634.701,324.79200000000003,420.546,GPU,TX2,cnv,s2.0,1,FP16
"maxq,FP16,b2",3.33419,2.57131,599.5319999999999,779.4739999999999,397.24300000000005,516.471,GPU,TX2,cnv,s2.0,2,FP16
"maxq,FP16,b4",5.85107,4.418769999999999,687.248,904.357,455.36300000000006,599.217,GPU,TX2,cnv,s2.0,4,FP16
"maxq,FP16,b8",12.8156,9.51645,640.0,849.8539999999999,424.05699999999996,563.104,GPU,TX2,cnv,s2.0,8,FP16
"maxq,FP16,b16",17.5069,12.4215,916.7410000000001,1314.44,607.423,870.935,GPU,TX2,cnv,s2.0,16,FP16
"maxq,FP16,b32",32.3833,22.3902,991.288,1445.89,656.816,958.034,GPU,TX2,cnv,s2.0,32,FP16
"maxq,FP16,b64",62.2753,42.7866,1027.08,1505.09,680.533,997.258,GPU,TX2,cnv,s2.0,64,FP16
"maxq,FP16,b128",122.60700000000001,83.5833,1039.59,1532.21,688.823,1015.22,GPU,TX2,cnv,s2.0,128,FP16
"maxq,FP32,b1",2.8669599999999997,2.42358,347.944,412.892,230.544,273.578,GPU,TX2,cnv,s2.0,1,FP32
"maxq,FP32,b2",4.95642,4.2033,402.358,476.039,266.598,315.41900000000004,GPU,TX2,cnv,s2.0,2,FP32
"maxq,FP32,b4",8.54909,7.16657,467.79400000000004,555.903,309.955,368.335,GPU,TX2,cnv,s2.0,4,FP32
"maxq,FP32,b8",14.4764,11.8676,552.617,674.2719999999999,366.158,446.765,GPU,TX2,cnv,s2.0,8,FP32
"maxq,FP32,b16",26.6973,21.5813,599.5319999999999,751.0189999999999,397.24300000000005,497.61699999999996,GPU,TX2,cnv,s2.0,16,FP32
"maxq,FP32,b32",49.9442,39.9572,640.8009999999999,807.048,424.588,534.741,GPU,TX2,cnv,s2.0,32,FP32
"maxq,FP32,b64",97.4451,78.2097,656.831,827.5939999999999,435.209,548.355,GPU,TX2,cnv,s2.0,64,FP32
"maxq,FP32,b128",191.995,152.20600000000002,666.2330000000001,841.163,441.439,557.345,GPU,TX2,cnv,s2.0,128,FP32
"maxp,FP16,b1",1.80118,1.29129,562.328,784.796,372.593,519.997,GPU,TX2,cnv,s2.0,1,FP16
"maxp,FP16,b2",2.92845,2.07401,690.0269999999999,981.623,457.204,650.413,GPU,TX2,cnv,s2.0,2,FP16
"maxp,FP16,b4",4.7236199999999995,3.43745,861.2280000000001,1165.96,570.64,772.551,GPU,TX2,cnv,s2.0,4,FP16
"maxp,FP16,b8",7.9233,5.4822,1030.18,1464.19,682.587,970.153,GPU,TX2,cnv,s2.0,8,FP16
"maxp,FP16,b16",14.4108,9.7367,1121.58,1681.7,743.145,1114.28,GPU,TX2,cnv,s2.0,16,FP16
"maxp,FP16,b32",27.4755,17.6124,1207.55,1841.14,800.107,1219.92,GPU,TX2,cnv,s2.0,32,FP16
"maxp,FP16,b64",53.2262,33.5718,1219.05,1921.35,807.7280000000001,1273.07,GPU,TX2,cnv,s2.0,64,FP16
"maxp,FP16,b128",103.022,65.6162,1272.05,1952.77,842.846,1293.89,GPU,TX2,cnv,s2.0,128,FP16
"maxp,FP32,b1",2.40089,1.94134,427.736,515.229,283.413,341.385,GPU,TX2,cnv,s2.0,1,FP32
"maxp,FP32,b2",4.00145,3.31969,500.244,602.992,331.45599999999996,399.536,GPU,TX2,cnv,s2.0,2,FP32
"maxp,FP32,b4",6.8853100000000005,5.63165,582.812,707.439,386.165,468.74199999999996,GPU,TX2,cnv,s2.0,4,FP32
"maxp,FP32,b8",11.6666,9.2863,687.248,862.2130000000001,455.36300000000006,571.293,GPU,TX2,cnv,s2.0,8,FP32
"maxp,FP32,b16",21.5057,16.8949,749.086,960.927,496.336,636.6990000000001,GPU,TX2,cnv,s2.0,16,FP32
"maxp,FP32,b32",40.1809,31.0845,799.375,1037.05,529.6569999999999,687.14,GPU,TX2,cnv,s2.0,32,FP32
"maxp,FP32,b64",78.3959,60.5055,820.513,1062.91,543.663,704.273,GPU,TX2,cnv,s2.0,64,FP32
"maxp,FP32,b128",154.09,118.477,830.495,1080.56,550.2769999999999,715.966,GPU,TX2,cnv,s2.0,128,FP32
