config,lat-system,lat-comp,fps-system,fps-comp,tp-system,tp-comp,chip,model,net,pruning,batch_size,quantization
"maxn,FP16,b1",0.768227,0.404323,1316.2,2697.48,56.2581,115.29899999999999,GPU,TX2,cnv,s0.5,1,FP16
"maxn,FP16,b2",1.02845,0.43795500000000004,1988.35,5010.01,84.988,214.143,GPU,TX2,cnv,s0.5,2,FP16
"maxn,FP16,b4",1.64865,0.595875,2461.54,7010.72,105.214,299.659,GPU,TX2,cnv,s0.5,4,FP16
"maxn,FP16,b8",2.73747,0.804234,2909.09,10552.5,124.34299999999999,451.04400000000004,GPU,TX2,cnv,s0.5,8,FP16
"maxn,FP16,b16",4.91,1.19308,3313.92,14147.9,141.64700000000002,604.726,GPU,TX2,cnv,s0.5,16,FP16
"maxn,FP16,b32",9.30594,2.0964400000000003,3482.99,16379.3,148.874,700.1,GPU,TX2,cnv,s0.5,32,FP16
"maxn,FP16,b64",17.4394,3.4335,3657.14,18972.1,156.317,810.924,GPU,TX2,cnv,s0.5,64,FP16
"maxn,FP16,b128",33.8832,6.37575,3806.69,20288.5,162.709,867.19,GPU,TX2,cnv,s0.5,128,FP16
"maxn,FP32,b1",0.717115,0.360163,1414.36,3016.88,60.4542,128.951,GPU,TX2,cnv,s0.5,1,FP32
"maxn,FP32,b2",1.0688799999999998,0.486,1861.82,4138.24,79.5797,176.88099999999997,GPU,TX2,cnv,s0.5,2,FP32
"maxn,FP32,b4",1.8159599999999998,0.770211,2240.7,5272.02,95.7743,225.342,GPU,TX2,cnv,s0.5,4,FP32
"maxn,FP32,b8",3.09055,1.09287,2632.39,7453.07,112.516,318.567,GPU,TX2,cnv,s0.5,8,FP32
"maxn,FP32,b16",5.68577,1.75858,2942.53,9663.66,125.773,413.05400000000003,GPU,TX2,cnv,s0.5,16,FP32
"maxn,FP32,b32",10.4755,3.0605,3131.5,11316.7,133.85,483.708,GPU,TX2,cnv,s0.5,32,FP32
"maxn,FP32,b64",19.6671,5.42675,3292.6,12381.8,140.736,529.235,GPU,TX2,cnv,s0.5,64,FP32
"maxn,FP32,b128",37.8201,9.99687,3346.41,12967.3,143.035,554.26,GPU,TX2,cnv,s0.5,128,FP32
"maxq,FP16,b1",1.06226,0.626102,944.6489999999999,1697.94,40.3772,72.575,GPU,TX2,cnv,s0.5,1,FP16
"maxq,FP16,b2",1.40198,0.6529,1414.36,3203.1,60.4542,136.91,GPU,TX2,cnv,s0.5,2,FP16
"maxq,FP16,b4",2.20328,0.8487299999999999,1822.06,4832.15,77.8805,206.541,GPU,TX2,cnv,s0.5,4,FP16
"maxq,FP16,b8",3.7269300000000003,1.1024200000000002,2160.34,7397.24,92.3393,316.18,GPU,TX2,cnv,s0.5,8,FP16
"maxq,FP16,b16",6.772139999999999,1.6519400000000002,2306.31,9868.55,98.5785,421.811,GPU,TX2,cnv,s0.5,16,FP16
"maxq,FP16,b32",12.69,2.73759,2503.67,11931.5,107.014,509.99,GPU,TX2,cnv,s0.5,32,FP16
"maxq,FP16,b64",24.9017,5.1775,2585.86,12431.1,110.527,531.3430000000001,GPU,TX2,cnv,s0.5,64,FP16
"maxq,FP16,b128",48.6095,9.40225,2632.39,13805.7,112.516,590.099,GPU,TX2,cnv,s0.5,128,FP16
"maxq,FP32,b1",0.9896790000000001,0.54713,1002.94,1906.21,42.8686,81.4769,GPU,TX2,cnv,s0.5,1,FP32
"maxq,FP32,b2",1.42547,0.68107,1398.91,2900.74,59.7935,123.986,GPU,TX2,cnv,s0.5,2,FP32
"maxq,FP32,b4",2.4376900000000004,1.08244,1610.06,3689.2,68.8189,157.687,GPU,TX2,cnv,s0.5,4,FP32
"maxq,FP32,b8",4.15677,1.52545,1943.07,5143.45,83.0528,219.847,GPU,TX2,cnv,s0.5,8,FP32
"maxq,FP32,b16",7.4170300000000005,2.40052,2155.79,6712.07,92.1449,286.894,GPU,TX2,cnv,s0.5,16,FP32
"maxq,FP32,b32",14.2136,4.11188,2275.56,7626.59,97.2641,325.98400000000004,GPU,TX2,cnv,s0.5,32,FP32
"maxq,FP32,b64",27.5234,7.654310000000001,2343.25,8431.73,100.15799999999999,360.398,GPU,TX2,cnv,s0.5,64,FP32
"maxq,FP32,b128",54.1385,14.5419,2381.4,8543.51,101.788,365.175,GPU,TX2,cnv,s0.5,128,FP32
"maxp,FP16,b1",1.04861,0.561192,969.697,1927.94,41.4478,82.4061,GPU,TX2,cnv,s0.5,1,FP16
"maxp,FP16,b2",1.43824,0.616051,1410.47,3609.57,60.2876,154.284,GPU,TX2,cnv,s0.5,2,FP16
"maxp,FP16,b4",2.20883,0.701762,1858.44,5892.98,79.4353,251.88400000000001,GPU,TX2,cnv,s0.5,4,FP16
"maxp,FP16,b8",3.9036199999999996,1.10732,2192.72,9066.44,93.7234,387.527,GPU,TX2,cnv,s0.5,8,FP16
"maxp,FP16,b16",6.75225,1.3850799999999999,2398.13,12037.0,102.50299999999999,514.498,GPU,TX2,cnv,s0.5,16,FP16
"maxp,FP16,b32",12.7489,2.37022,2560.0,14956.1,109.42200000000001,639.269,GPU,TX2,cnv,s0.5,32,FP16
"maxp,FP16,b64",24.7097,4.11431,2645.99,16530.0,113.098,706.5419999999999,GPU,TX2,cnv,s0.5,64,FP16
