NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun
MLP,NCS,FP16,na,1,2.89257,218.893,345.713,1.8451799999999998,2.9142200000000003,98.86,,0.53,1.2,1.794,,100%,l3,NCS_FP16_100%
MLP,NCS,FP16,na,2,4.68459,247.308,426.931,2.08471,3.5988599999999997,98.86,,0.53,1.2,1.949,,100%,l3,NCS_FP16_100%
MLP,NCS,FP16,na,4,8.118210000000001,269.491,492.719,2.2717,4.15343,98.86,,0.53,1.2,1.946,,100%,l3,NCS_FP16_100%
MLP,NCS,FP16,na,8,14.8038,282.686,540.4,2.38293,4.55536,98.86,,0.53,1.2,2.084,,100%,l3,NCS_FP16_100%
MLP,NCS,FP16,na,16,27.4935,292.848,581.956,2.4685900000000003,4.90565,98.86,,0.53,1.2,2.136,,100%,l3,NCS_FP16_100%
MLP,NCS,FP16,na,32,53.0572,297.97,603.122,2.5117700000000003,5.08408,98.86,,0.53,1.2,2.135,,100%,l3,NCS_FP16_100%
MLP,NCS,FP16,na,64,104.435,301.514,612.823,2.54164,5.1658599999999995,98.86,,0.53,1.2,2.186,,100%,l3,NCS_FP16_100%
MLP,NCS,FP16,na,128,206.007,303.434,621.337,2.55783,5.23762,98.86,,0.53,1.2,2.2119999999999997,,100%,l3,NCS_FP16_100%
MLP,GPU,FP16,maxp,1,0.6982659999999999,976.168,1466.41,8.2287,12.3613,97.3,,1.8,4.7,9.881,,100%,l3,GPU_FP16_100%
MLP,GPU,FP16,maxp,2,0.73998,1635.78,2785.55,13.789000000000001,23.480999999999998,97.3,,1.8,4.7,9.902999999999999,,100%,l3,GPU_FP16_100%
MLP,GPU,FP16,maxp,4,0.766234,2515.97,5392.6,21.2086,45.4574,97.3,,1.8,4.7,10.262,,100%,l3,GPU_FP16_100%
MLP,GPU,FP16,maxp,8,1.16167,3093.66,7027.46,26.0783,59.2387,97.3,,1.8,4.7,9.645,,100%,l3,GPU_FP16_100%
MLP,GPU,FP16,maxp,16,1.24863,4112.45,13008.0,34.6663,109.652,97.3,,1.8,4.7,11.359000000000002,,100%,l3,GPU_FP16_100%
MLP,GPU,FP16,maxp,32,1.20156,5044.33,29751.9,42.5217,250.796,97.3,,1.8,4.7,10.959000000000001,,100%,l3,GPU_FP16_100%
MLP,GPU,FP16,maxp,64,1.37056,5688.89,56369.0,47.9551,475.168,97.3,,1.8,4.7,11.215,,100%,l3,GPU_FP16_100%
