NN_Topology,HWType,Precision,Op mode,batch/thread/stream,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],BasePWR [W],IdlePWR [W],FullPwr [W],GOPS,PruningFactor,level,hw_quant_prun_net,norm-lat-comp,quant_model,hw_precision_net_prun
GNv1,ZCU102-DPU,INT8,,5,10.3627,364.86800000000005,529.573,1142.04,1657.56,69.49,89.26,20.0,29.0,38.9,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.01104737192225359,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,6,12.8324,371.273,544.702,1162.09,1704.92,69.49,89.26,20.0,29.0,37.4,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.01368024698728391,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,7,15.4456,377.01,536.201,1180.04,1678.31,69.49,89.26,20.0,29.0,38.5,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.016466103212710977,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,ZCU102-DPU,INT8,,8,17.8224,379.10900000000004,535.491,1186.61,1676.09,69.49,89.26,20.0,29.0,39.0,,100.0,l3,ZCU102-DPU_INT8_100%_GNv1,0.01899994030003497,INT8_ZCU102-DPU,ZCU102-DPU_INT8_GNv1_100.0
GNv1,Ultra96-DPU,INT8,,1,16.7913,50.446999999999996,59.5752,157.89911,185.976462,69.41,89.31,2.5,6.8,8.02899,,100.0,l3,Ultra96-DPU_INT8_100%_GNv1,0.01790071469386711,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GNv1_100.0
GNv1,Ultra96-DPU,INT8,,2,29.9483,59.9339,66.5095,187.593107,205.88733100000002,69.41,89.31,2.5,6.8,8.238710000000001,,100.0,l3,Ultra96-DPU_INT8_100%_GNv1,0.03192700826418088,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GNv1_100.0
GNv1,Ultra96-DPU,INT8,,3,47.3482,59.6774,,186.790262,197.677028,69.41,89.31,2.5,6.8,8.33854,,100.0,l3,Ultra96-DPU_INT8_100%_GNv1,0.050476533649458866,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GNv1_100.0
GNv1,Ultra96-DPU,INT8,,4,63.2061,59.7523,,187.024699,193.70537099999999,69.41,89.31,2.5,6.8,8.23847,,100.0,l3,Ultra96-DPU_INT8_100%_GNv1,0.0673821778547244,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GNv1_100.0
GNv1,Ultra96-DPU,INT8,,5,81.108,59.5355,,186.346115,194.621522,69.41,89.31,2.5,6.8,8.22945,,100.0,l3,Ultra96-DPU_INT8_100%_GNv1,0.08646687078368999,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GNv1_100.0
GNv1,Ultra96-DPU,INT8,,6,99.30799999999999,57.3676,,179.560588,190.946276,69.41,89.31,2.5,6.8,8.22359,,100.0,l3,Ultra96-DPU_INT8_100%_GNv1,0.1058693594193752,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GNv1_100.0
GNv1,Ultra96-DPU,INT8,,7,116.47399999999999,58.816,,184.09408,191.682765,69.41,89.31,2.5,6.8,8.49968,,100.0,l3,Ultra96-DPU_INT8_100%_GNv1,0.12416953084356051,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GNv1_100.0
GNv1,Ultra96-DPU,INT8,,8,129.952,59.4669,62.0088,186.131397,191.24926000000002,69.41,89.31,2.5,6.8,8.23202,,100.0,l3,Ultra96-DPU_INT8_100%_GNv1,0.1385380331420092,INT8_Ultra96-DPU,Ultra96-DPU_INT8_GNv1_100.0
RN50,NCS,FP16,na,1,56.3189,16.9366,17.756,130.75,137.077,75.172,92.01,0.53,1.2,1.8730000000000002,,100.0,l3,NCS_FP16_100%_RN50,0.008023664002507444,FP16_NCS,NCS_FP16_RN50_100.0
RN50,NCS,FP16,na,2,110.751,17.2123,18.0586,132.879,139.412,75.172,92.01,0.53,1.2,1.899,,100.0,l3,NCS_FP16_100%_RN50,0.015778518613497456,FP16_NCS,NCS_FP16_RN50_100.0
RN50,NCS,FP16,na,4,220.97799999999998,17.3239,18.1367,133.74,140.015,75.172,92.01,0.53,1.2,1.925,,100.0,l3,NCS_FP16_100%_RN50,0.03148238378139647,FP16_NCS,NCS_FP16_RN50_100.0
RN50,NCS,FP16,na,8,440.286,17.3811,18.2055,134.18200000000002,140.546,75.172,92.01,0.53,1.2,1.925,,100.0,l3,NCS_FP16_100%_RN50,0.06272684532204983,FP16_NCS,NCS_FP16_RN50_100.0
RN50,NCS,FP16,na,16,878.95,17.4019,18.2391,134.342,140.806,75.172,92.01,0.53,1.2,1.975,,100.0,l3,NCS_FP16_100%_RN50,0.12522260688692283,FP16_NCS,NCS_FP16_RN50_100.0
RN50,NCS,FP16,na,32,1755.28,17.4192,18.2663,134.476,141.016,75.172,92.01,0.53,1.2,2.0,,100.0,l3,NCS_FP16_100%_RN50,0.25007194654585346,FP16_NCS,NCS_FP16_RN50_100.0
RN50,NCS,FP16,na,64,3510.88,17.4542,18.2647,134.746,141.003,75.172,92.01,0.53,1.2,1.975,,100.0,l3,NCS_FP16_100%_RN50,0.5001894829821487,FP16_NCS,NCS_FP16_RN50_100.0
RN50,NCS,FP16,na,128,7019.1,17.4726,18.2716,134.888,141.05700000000002,75.172,92.01,0.53,1.2,2.0,,100.0,l3,NCS_FP16_100%_RN50,1.0,FP16_NCS,NCS_FP16_RN50_100.0
RN50,TX2,FP16,maxp,1,12.5159,58.9353,81.6541,454.98,630.37,75.142,92.118,1.8,4.7,9.38,,100.0,l3,TX2_FP16_100%_RN50,0.0017831203430639256,FP16_TX2,TX2_FP16_RN50_100.0
RN50,TX2,FP16,maxp,2,21.016,69.0865,96.1356,533.3480000000001,742.1669999999999,75.142,92.118,1.8,4.7,9.59,,100.0,l3,TX2_FP16_100%_RN50,0.0029941160547648556,FP16_TX2,TX2_FP16_RN50_100.0
