NN_Topology,HWType,Datatype,Op mode,batch/thread/stream,lat-sys,lat-comp,fps-system,fps-comp,tp-system,tp-comp,top1,top5 [%],Base_Pwr_W,Idle_Pwr_W,Full_Pwr_W,GOPS,PruningFactor,level,hw_datatype_prun_net,norm-lat-comp,datatype_model,tag
MLP,TX2,FP32,maxp,128,24.1,3.4425,5475.94,39802.5,109.67760226,797.2042725000001,97.31,,1.8,4.7,12.366,2.5637119999999998,100.0,l3,TX2_FP32_100%_MLP,0.007908993162770179,FP32_TX2,TX2_FP32_MLP_100.0
MLP,ZCU104-FINN,INT2,,1,,0.023,,43478.261,,870.8260895689999,98.75,,9.2,13.71,13.9525,0.020028999999999998,100.0,l3,ZCU104-FINN_INT2_100%_MLP,5.284149389795618e-05,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-FINN,INT2,,2,,0.036000000000000004,,55555.556,,1112.722231124,98.75,,9.2,13.71,13.905,0.040057999999999996,100.0,l3,ZCU104-FINN_INT2_100%_MLP,8.27084252315836e-05,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-FINN,INT2,,4,,0.061,,65573.77,,1313.37703933,98.75,,9.2,13.71,13.94,0.08011599999999999,100.0,l3,ZCU104-FINN_INT2_100%_MLP,0.00014014483164240553,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-FINN,INT2,,8,,0.111,,72072.072,,1443.5315300880002,98.75,,9.2,13.71,13.9325,0.16023199999999999,100.0,l3,ZCU104-FINN_INT2_100%_MLP,0.0002550176444640494,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-FINN,INT2,,16,,0.21,,76190.476,,1526.019043804,98.75,,9.2,13.71,13.9875,0.32046399999999997,100.0,l3,ZCU104-FINN_INT2_100%_MLP,0.0004824658138509042,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-FINN,INT2,,32,,0.408,,78431.37299999999,,1570.9019698170002,98.75,,9.2,13.71,13.9,0.6409279999999999,100.0,l3,ZCU104-FINN_INT2_100%_MLP,0.0009373621526246141,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-FINN,INT2,,64,,0.8059999999999999,,79404.467,,1590.3920695430002,98.75,,9.2,13.71,14.2775,1.2818559999999999,100.0,l3,ZCU104-FINN_INT2_100%_MLP,0.0018517497426848988,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-FINN,INT2,,128,,1.6,,80000.0,,1602.3200000000004,98.75,,9.2,13.71,14.365,2.5637119999999998,100.0,l3,ZCU104-FINN_INT2_100%_MLP,0.003675930010292604,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
MLP,ZCU104-FINN,INT2,,256,,3.19,,80250.784,,1607.3429527360001,98.75,,9.2,13.71,14.515,5.1274239999999995,100.0,l3,ZCU104-FINN_INT2_100%_MLP,0.007328885458020879,INT2_ZCU104-FINN,ZCU104-FINN_INT2_MLP_100.0
